0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
drive/My Drive/faces94/female/klclar/klclar.13.jpg,0.0,0.0,0.0,0.2639507,0.45650756,0.0,2.046907,0.0,0.0,0.0,0.0,0.0,0.0,0.36306876,0.57606286,0.0,0.0,0.38197374,0.67831385,0.3600215,0.0,1.4342313,0.0,0.0,0.0,0.0,0.0,0.68561447,0.0,1.1612653,0.0,1.3888055,0.0,0.0,0.41964468,0.0,0.0,0.0,0.8914024,0.0,0.0,1.9530627,0.0,0.0,0.0,0.0,0.0,1.0230023,0.0,0.046887122,0.92608416,1.1180038,0.0,0.66406125,0.0,0.0,0.0,0.0,1.1754413,0.0,0.0,0.4160479,0.0,0.87234604,0.0,0.0,0.0,0.25376058,0.0,0.0,0.0,0.0,0.0,0.5061478,0.0,0.0,1.2362566,0.0,0.0,1.598095,0.0,0.48652932,0.0,0.0,0.0,1.3507822,0.0,0.0,1.2247175,0.3140498,0.81328946,0.0,0.9478409,0.0,0.0,0.9146523,1.0115902,0.0,0.0,1.3997712
drive/My Drive/faces94/female/klclar/klclar.17.jpg,0.0,0.0,0.0,0.22353025,0.55954564,0.0,2.0584974,0.0,0.0,0.0,0.0,0.0,0.0,0.33887285,0.54990214,0.0,0.0,0.5522891,0.6962086,0.15419333,0.0,1.4838839,0.0,0.0,0.0,0.0,0.0,0.5671007,0.0002678698,1.1723475,0.0,1.52583,0.0,0.0,0.5257322,0.0,0.0,0.0,0.82836384,0.0,0.0,1.9832574,0.0,0.0,0.0,0.0,0.0,0.90013003,0.0,0.0365194,0.99028975,0.97418463,0.0,0.6181547,0.0,0.0,0.0,0.0,1.185465,0.0,0.0,0.34030065,0.0,0.8468605,0.0,0.0,0.0,0.032679096,0.0,0.0,0.0,0.0,0.0,0.5198488,0.0,0.0,1.1034803,0.0,0.0,1.5831431,0.0,0.32523572,0.0,0.0,0.0,1.3053452,0.0,0.0,1.1191131,0.25251496,0.9014453,0.0,0.9345603,0.0,0.0,1.0114843,0.9104272,0.0,0.0,1.5768751
drive/My Drive/faces94/female/klclar/klclar.15.jpg,0.0,0.0,0.0,0.34702632,0.47735873,0.0,1.9494301,0.0,0.0,0.0,0.0,0.0,0.0,0.57197034,0.61410606,0.0,0.0,0.34717584,0.66494644,0.45590135,0.0,1.4543294,0.0,0.0,0.0,0.0,0.0,0.6255847,0.0,0.9766882,0.0,1.4527056,0.0,0.0,0.41275778,0.0,0.0,0.0,0.8631569,0.0,0.0,2.0688787,0.0,0.0,0.0,0.0,0.0,1.0226083,0.0,0.14888299,0.94079757,1.1793078,0.0,0.57775843,0.0,0.0,0.0,0.0,1.1885555,0.0019773412,0.0,0.44554207,0.0,0.79400915,0.0,0.0,0.0,0.24306364,0.0,0.0,0.0,0.0,0.0,0.27837098,0.0,0.0,1.1630611,0.0,0.0,1.6941769,0.0,0.5316585,0.0,0.0,0.0,1.3031864,0.0,0.0,1.2597171,0.3267442,0.80386233,0.0,0.7528212,0.0,0.0,0.9362678,0.9951909,0.0,0.0,1.3770894
drive/My Drive/faces94/female/klclar/klclar.1.jpg,0.0,0.0,0.0,1.476382,0.0,0.0,0.7536618,1.2621006,0.0,0.0,0.0,0.0,0.0,1.8965,0.13101259,1.4164282,0.0,0.0,0.4056701,1.0969776,0.0,1.330963,0.0,0.0,0.0,0.40021664,0.0,0.0,0.0,0.0,0.0,0.9130575,0.0,0.09852805,0.1404032,0.0,0.0,0.0,1.2461654,0.0,0.0,2.3681865,0.0,0.0,0.0,0.0,0.0,1.3635681,1.1512051,0.79022074,0.26284304,1.3453056,0.0,0.0,0.28992066,0.0,0.0,0.0,0.8724962,0.21593937,0.0,0.26262838,0.010403263,0.3349458,0.0,0.0,0.0,0.6995715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19353913,0.06920411,0.3828786,0.0,2.3788004,0.0,0.95670575,0.62451565,0.0,0.0,0.7859279,0.0,0.0,1.1587862,0.3461744,0.118877135,0.0,0.0,0.0,0.0,0.59161353,1.3433105,0.67954177,0.0,0.36742827
drive/My Drive/faces94/female/klclar/klclar.14.jpg,0.0,0.0,0.0,0.13613918,0.5044436,0.0,2.1993551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5398849,0.0,0.0,0.5042448,0.78691506,0.1324364,0.0,1.3563671,0.0,0.0,0.0,0.0,0.0,0.7674576,0.0,1.493141,0.0,1.4185238,0.0,0.0,0.5184255,0.0,0.0,0.0,0.82415354,0.0,0.0,1.7472874,0.0,0.0,0.0,0.0,0.0,0.97201884,0.0,0.0,1.0275109,0.95497376,0.0,0.64703816,0.0,0.0,0.0,0.0,1.1342627,0.0,0.0,0.2953661,0.0,1.0419005,0.0,0.0,0.0,0.12185773,0.0,0.0,0.0,0.0,0.0,0.8773732,0.04578445,0.0,1.3322535,0.0,0.0,1.4422911,0.0,0.41082668,0.0,0.0,0.0,1.4000292,0.0,0.0,1.1311934,0.26817492,0.8246377,0.0,1.2279974,0.0,0.0,0.934283,0.8971473,0.0,0.0,1.5067012
drive/My Drive/faces94/female/klclar/klclar.6.jpg,0.084979095,0.0,0.0,1.5212219,0.0,0.0,0.66146314,1.3364384,0.12176459,0.0,0.0,0.0,0.0,1.7426353,0.05487814,1.4860784,0.0,0.0,0.4448805,1.2726526,0.0,1.0592825,0.0,0.0,0.0,0.5828993,0.0,0.0,0.0,0.0,0.0,0.8179125,0.0,0.1702342,0.10913827,0.0,0.0,0.0,1.2399971,0.0,0.0,2.3323116,0.0,0.0,0.0,0.0,0.0,1.4487954,1.3285236,0.8270692,0.18724535,1.3460501,0.0,0.0,0.4799394,0.0,0.0,0.0,0.7393551,0.13871805,0.0,0.06871416,0.0,0.39059386,0.0,0.0,0.0,0.8537446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27926812,0.0,0.47514594,0.0,2.2927175,0.0,1.0882099,0.6053392,0.0,0.11814685,0.84138566,0.0,0.0,1.1121448,0.36332497,0.0,0.0009222608,0.0,0.0,0.0,0.5116989,1.3326466,0.8125909,0.0,0.0773854
drive/My Drive/faces94/female/klclar/klclar.16.jpg,0.0,0.0,0.0,0.43462184,0.37330246,0.0,1.9069306,0.0,0.0,0.0,0.0,0.0,0.0,0.61328727,0.5031833,0.014932742,0.0,0.2535615,0.62869364,0.43320858,0.0,1.4887195,0.0,0.0,0.0,0.0,0.0,0.5229724,0.0,0.91621417,0.0,1.411489,0.0,0.0,0.46006694,0.0,0.0,0.0,0.86653805,0.0,0.0,2.0466342,0.0,0.0,0.0,0.0,0.0,1.1168957,0.0,0.11996877,0.86628824,1.1229181,0.0,0.4810635,0.0,0.0,0.0,0.0,1.1368673,0.034184404,0.0,0.3245826,0.0,0.8073405,0.0,0.0,0.0,0.30872026,0.0,0.0,0.0,0.0,0.0,0.24948744,0.0,0.0,1.0796834,0.0,0.0,1.7328869,0.0,0.58287567,0.0,0.0,0.0,1.2998064,0.0,0.0,1.2222353,0.34150055,0.7499116,0.0,0.62683135,0.0,0.0,0.91461533,1.066399,0.0,0.0,1.3238997
drive/My Drive/faces94/female/klclar/klclar.5.jpg,0.11932831,0.0,0.0,1.4568825,0.0,0.0,0.5907769,1.4237429,0.49030587,0.0,0.0,0.0,0.0,1.428007,0.07237004,1.4887798,0.0,0.0,0.5422874,1.5728234,0.0,0.5550591,0.0,0.2653719,0.0,0.86294895,0.0,0.0,0.0,0.0,0.0,0.599801,0.0,0.35076806,0.0,0.0,0.0,0.0,1.2956953,0.0,0.0,2.188041,0.0,0.0,0.0,0.0,0.0,1.6417719,1.5499517,0.94029844,0.055217758,1.421595,0.0,0.0,0.6792284,0.0,0.0,0.0,0.75109917,0.0,0.0,0.0,0.0,0.67879707,0.0,0.0,0.0,1.1545484,0.0,0.0,0.0,0.08731176,0.0,0.0,0.0,0.25151142,0.093908794,0.70657855,0.0,2.1969085,0.0,1.3594518,0.3921191,0.0,0.23211165,0.91870207,0.0,0.0,0.9476296,0.39842272,0.0,0.0,0.0,0.0,0.0,0.3217379,1.2466029,1.1075056,0.1763861,0.0
drive/My Drive/faces94/female/klclar/klclar.7.jpg,0.0,0.0,0.0,1.381813,0.0,0.0,0.77011776,1.1756802,0.0,0.0,0.0,0.0,0.0,1.8170296,0.2098764,1.3282965,0.0,0.0,0.3827368,0.93361723,0.0,1.4642961,0.0,0.0,0.0,0.30141675,0.0,0.0,0.0,0.0,0.0,0.99912065,0.0,0.0,0.115685694,0.0,0.0,0.0,1.1880049,0.0,0.0,2.4067485,0.0,0.0,0.0,0.0,0.0,1.3531346,0.96244526,0.6836018,0.25482506,1.2936939,0.0,0.0,0.14241855,0.0,0.0,0.0,0.95894176,0.21850656,0.0,0.26770687,0.0,0.26372316,0.0,0.0,0.0,0.5986952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18118517,0.12585902,0.22134912,0.0,2.3488104,0.0,0.90579844,0.54905206,0.0,0.0,0.7529527,0.0,0.0,1.052416,0.2773869,0.28113407,0.0,0.0,0.0,0.0,0.58618283,1.3319694,0.5630424,0.0,0.6105213
drive/My Drive/faces94/female/klclar/klclar.4.jpg,0.202126,0.0,0.0,1.4101057,0.0,0.0,0.5534502,1.4173946,0.5815957,0.0,0.0,0.0,0.0,1.4011163,0.034374446,1.4884043,0.0,0.0,0.4894535,1.6773225,0.0,0.34514105,0.0,0.40080217,0.0,0.9539751,0.0,0.0,0.0,0.0,0.0,0.5308637,0.0,0.46745008,0.0,0.0,0.0,0.0,1.3107474,0.0,0.0,2.1621237,0.0,0.0,0.0,0.0,0.0,1.6443095,1.6652962,0.9674524,0.024735553,1.4581547,0.0,0.0,0.7306127,0.0,0.0,0.0,0.74643975,0.0,0.0,0.0,0.0,0.77054334,0.00089265965,0.0,0.0,1.2766821,0.0,0.0,0.0,0.10135503,0.0,0.0,0.0,0.27864513,0.06242392,0.72720337,0.0,2.1179812,0.0,1.3800427,0.36111447,0.0,0.24158622,0.9431251,0.0,0.0,0.8812903,0.44470963,0.0,0.0,0.0,0.0,0.0,0.31457996,1.2419481,1.2192402,0.42095563,0.0
